,ix_bitrate,youtube_viewchange,youtube_views,steam_users,steam_ingame,twitch_views,twitch_channels,twitch_viewtime,twitch_streams,ps_users,stock_med,stock_bank,stock_energy,stock_oil,stock_steel,stock_automotive,stock_telecom,stock_tech,corona_deaths,corona_confirmed,corona_recovered,corona_active,new_confirmed,corona_new_recovered,Date
28,1.1692094,2.2781131,1.7912341,0.7634151,0.017311305,1.719321,1.3614023,1.3682976,0.83003974,-0.38089523,3.1638122,-0.5303204,4.097258,-1.8875465,-1.659567,0.83374363,1.5119002,2.1898851,304.0,14400.0,269.0,13827.0,2070.0,17.0,2020-01-29
29,1.1032897,2.2448354,1.8057723,0.8336939,0.07559638,1.7209848,1.3682704,1.3698905,0.8373044,-0.5351595,2.8221245,-0.7000421,4.0796065,-2.1778913,-1.7400657,0.6989505,0.9413957,1.9463444,384.0,18160.0,365.0,17411.0,1690.0,79.0,2020-01-30
30,1.044171,2.2001524,1.8204229,0.91207236,0.14645213,1.7226847,1.3765113,1.3736665,0.8477691,-0.6825654,2.8665774,-0.60868394,4.093979,-2.3460386,-1.7775296,0.6092554,0.8180311,2.1273274,472.0,22008.0,511.0,21025.0,2113.0,62.0,2020-01-31
31,0.96505696,2.1434321,1.8351128,1.0014282,0.23068523,1.7244711,1.3862317,1.3797894,0.8616406,-0.7532368,2.7944453,-0.6437006,4.0320177,-2.4336696,-1.8526651,0.56184804,0.8137527,2.0617726,259.0,12049.0,283.0,11507.0,1.0,0.0,2020-02-01
32,0.79032993,2.0734587,1.8497466,1.0954484,0.31763563,1.7264239,1.3975261,1.3884006,0.8790775,-0.7100984,2.7223132,-0.6787172,3.970056,-2.5213006,-1.9278004,0.5144407,0.80947435,1.9962178,362.0,16694.0,465.0,15867.0,4749.0,188.0,2020-02-02
33,0.59250134,1.9890707,1.8642174,1.1875141,0.40003064,1.7287405,1.4104438,1.3995545,0.90004545,-0.60960793,2.650181,-0.7137338,3.9080944,-2.6089315,-2.002936,0.46703342,0.805196,1.930663,425.0,19750.0,615.0,18710.0,3094.0,151.0,2020-02-03
34,0.46135637,1.8898933,1.8784202,1.2718979,0.47392157,1.7316476,1.425022,1.4132837,0.92446184,-0.52104515,3.1294487,-0.5293536,4.0793295,-2.719779,-2.0059762,1.1463552,0.712892,2.1984386,491.0,23833.0,851.0,22491.0,4011.0,229.0,2020-02-04
35,0.3661167,1.7769321,1.8922559,1.340203,0.532984,1.7353717,1.441298,1.4296209,0.952244,-0.5469878,3.273456,-0.45752534,4.0153084,-2.7574928,-1.9047114,1.1673526,0.97136325,2.444022,563.0,27516.0,1115.0,25838.0,3744.0,272.0,2020-02-05
36,0.39267272,1.653046,1.9056336,1.400478,0.5796601,1.7401398,1.4593092,1.4485985,0.98330927,-0.6648727,3.3296387,-0.21459486,4.139205,-2.5459592,-1.808791,1.3818079,1.168323,2.6222115,633.0,30695.0,1482.0,28580.0,3182.0,363.0,2020-02-06
37,0.50126,1.5229936,1.9184736,1.4552778,0.6158126,1.7461784,1.4790931,1.4702494,1.0175751,-0.7742095,3.2732077,-0.3308322,4.310344,-2.428935,-1.8249325,1.2512449,1.5767844,2.5224848,719.0,34245.0,2004.0,31522.0,3533.0,524.0,2020-02-07
38,0.5922725,1.3930535,1.9307085,1.4980133,0.6404993,1.7537142,1.5006868,1.494606,1.0549587,-0.8165527,3.1762657,-0.36118189,4.2893033,-2.4657576,-1.828882,1.2320715,1.5916812,2.4812028,805.0,36944.0,2612.0,33527.0,2729.0,605.0,2020-02-08
39,0.702288,1.2705191,1.9422778,1.5331017,0.659185,1.762974,1.5241278,1.521701,1.0953777,-0.74965847,3.0793238,-0.39153156,4.268262,-2.5025802,-1.8328314,1.212898,1.606578,2.4399211,905.0,39981.0,3231.0,35845.0,3027.0,628.0,2020-02-09
40,0.8240904,1.1629952,1.9531194,1.5689439,0.67724687,1.7741845,1.5494535,1.5515668,1.1387491,-0.6441981,2.982382,-0.42188123,4.247221,-2.539403,-1.8367808,1.1937246,1.6214747,2.3986392,1012.0,42500.0,3929.0,37559.0,2541.0,702.0,2020-02-10
41,0.9023339,1.0775536,1.9631686,1.6050283,0.695895,1.7875723,1.5767012,1.5842364,1.1849905,-0.5614998,3.2969089,-0.28948665,4.3968606,-2.485986,-1.7779806,1.1879061,1.9517409,2.6208026,1112.0,44582.0,4679.0,38791.0,2040.0,737.0,2020-02-11
42,1.0438015,1.019916,1.9723647,1.6400189,0.7165611,1.803364,1.6059083,1.6197422,1.2340193,-0.58952975,3.3407593,-0.19203871,4.549353,-2.323217,-1.755457,1.2379392,2.1124878,2.6926117,1118.0,44908.0,5124.0,38666.0,379.0,467.0,2020-02-12
43,1.2758855,0.99372643,1.9806579,1.6683688,0.7373164,1.8217865,1.637112,1.6581167,1.2857528,-0.716758,2.9809597,-0.10592606,4.442606,-2.5051486,-1.7786201,1.3094182,2.1288834,2.6482446,1370.0,60098.0,6275.0,52453.0,15148.0,1145.0,2020-02-13
44,1.5729021,1.0002058,1.9880173,1.6840458,0.7526378,1.8430665,1.67035,1.6993926,1.3401083,-0.83275443,3.06962,-0.18736817,4.7640557,-2.494105,-1.7992877,1.3905987,2.197535,2.709475,1522.0,66473.0,8005.0,56946.0,6474.0,1763.0,2020-02-14
45,1.8375533,1.0381885,1.9944394,1.6895449,0.7619559,1.8674306,1.7056593,1.7436025,1.3970032,-0.88871497,3.0664017,-0.21431589,4.8815894,-2.6443944,-1.8008665,1.3702708,2.1875608,2.6553311,1665.0,68618.0,9355.0,57598.0,2078.0,1337.0,2020-02-15
