,ix_bitrate,youtube_viewchange,youtube_views,steam_users,steam_ingame,twitch_views,twitch_channels,twitch_viewtime,twitch_streams,ps_users,stock_med,stock_bank,stock_energy,stock_oil,stock_steel,stock_automotive,stock_telecom,stock_tech,corona_deaths,corona_confirmed,corona_recovered,corona_active,new_confirmed,corona_new_recovered,Date
305,0.6708668,,,,,-1.0655103,-1.1096399,-1.0415289,-1.1540933,-0.050698075,-0.039455608,0.7541817,1.7893382,0.20549668,0.9605354,1.5838221,0.69663423,-0.01605653,0.0,0.0,0.0,0.0,0.0,0.0,2017-11-02
306,0.82986397,,,,,-1.0735983,-1.1066738,-1.0498708,-1.1475402,-0.14482713,-0.12452492,0.69698656,1.8410838,0.30690184,0.97354734,1.575085,0.5222967,0.006644833,0.0,0.0,0.0,0.0,0.0,0.0,2017-11-03
307,1.0281357,,,,,-1.082273,-1.103718,-1.0582625,-1.1405017,-0.14144762,-0.06086613,0.71522593,1.8349522,0.3374979,0.9767011,1.5570844,0.4082236,0.049434785,0.0,0.0,0.0,0.0,0.0,0.0,2017-11-04
308,1.155591,,,,,-1.0914279,-1.1007489,-1.0666211,-1.132969,-0.03578851,0.0027926697,0.7334654,1.8288206,0.36809394,0.9798549,1.539084,0.2941504,0.09222473,0.0,0.0,0.0,0.0,0.0,0.0,2017-11-05
309,1.159699,,,,,-1.1009564,-1.0977428,-1.0748638,-1.1249331,0.11191557,0.06645147,0.75170475,1.8226889,0.39869002,0.9830086,1.5210835,0.18007724,0.13501468,0.0,0.0,0.0,0.0,0.0,0.0,2017-11-06
310,1.0199295,,,,,-1.1107521,-1.0946763,-1.0829079,-1.1163853,0.22234574,0.06542547,0.639264,1.9458613,0.7611754,1.0415657,1.513969,0.37699807,0.13608687,0.0,0.0,0.0,0.0,0.0,0.0,2017-11-07
311,0.8658501,,,,,-1.1207083,-1.0915257,-1.0906705,-1.1073166,0.1619123,-0.0034520114,0.5145278,2.0883443,0.5933532,1.0089084,1.3872001,0.34701025,0.15416458,0.0,0.0,0.0,0.0,0.0,0.0,2017-11-08
312,0.8426801,,,,,-1.1307187,-1.0882676,-1.0980688,-1.0977181,-0.028930113,0.04966937,0.63293266,1.9800982,0.53898233,0.97981834,1.2726153,0.39067614,0.040300027,0.0,0.0,0.0,0.0,0.0,0.0,2017-11-09
313,0.9328087,,,,,-1.1406765,-1.0848783,-1.10502,-1.0875812,-0.19104677,0.037117004,0.5702129,1.8550378,0.5655144,1.0300486,1.2381887,0.41160327,-0.045574803,0.0,0.0,0.0,0.0,0.0,0.0,2017-11-10
314,1.087689,,,,,-1.1504754,-1.0813344,-1.1114415,-1.0768967,-0.24243507,-0.04803249,0.5393474,1.7875059,0.471444,1.0326208,1.2319361,0.34974116,-0.06137669,0.0,0.0,0.0,0.0,0.0,0.0,2017-11-11
