Date,Weekly_average_change_views,Weekly_average_views
2019-08-04,6526567.441590676,4163357.4040465145
2019-08-11,6472346.966760809,4432713.31884351
2019-08-18,7055536.219689515,4694889.328308549
2019-08-25,6870835.525418241,4946598.60792066
2019-09-01,7601639.727653327,4580960.484027497
2019-09-08,6745321.017552658,3996294.7188363736
2019-09-15,6952979.365814179,4489585.037994227
2019-09-22,6949520.724883997,4542965.556003494
2019-09-29,7427293.172385885,4987047.102348546
2019-10-06,5295227.489722148,6054559.430260521
2019-10-13,7205773.469785259,5601841.057911963
2019-10-20,7492254.072727272,5124637.725330485
2019-10-27,7177457.76528025,5350219.298236237
2019-11-03,7313363.206775638,5465022.565014655
2019-11-10,5306467.0045854235,9565921.637027118
2019-11-17,6956537.548740357,5507559.079025111
2019-11-24,8175585.388789987,5667340.838571619
2019-12-01,7131356.41859085,5950862.118313447
2019-12-08,6775107.562928198,5515367.761519427
2019-12-15,6791242.972700297,5535377.060464183
2019-12-22,6731278.528780277,5496928.415941059
2019-12-29,7514010.918864973,5445227.828540714
2020-01-05,6423830.779660103,5996689.092647256
2020-01-12,8495335.457948968,5851349.349325639
2020-01-19,8145639.7467903765,6311663.780647752
2020-01-26,8184841.375768691,6712732.947619048
2020-02-02,6501951.976858345,6195922.007654089
2020-02-09,7352042.8557557445,6613881.337665818
2020-02-16,8162885.511813572,6559484.836890858
2020-02-23,7970926.499379619,6476301.19794258
2020-03-01,7903944.116200033,6557235.658144827
2020-03-08,7950443.647553805,5882679.354748042
2020-03-15,8805625.690220617,6610915.99745513
2020-03-22,8823295.479719525,7425881.293358179
2020-03-29,9602649.622525487,7530620.19810944
2020-04-05,9732347.056796117,7453937.931043682
2020-04-12,9151510.948651563,7195841.07277826
2020-04-19,9771575.146078326,15180593.6804896
2020-04-26,10003926.788068397,7431364.75798995
2020-05-03,10013716.027524924,7472645.883372681
2020-05-10,10342982.423148248,9599300.771525832
2020-05-17,10480137.68098888,8043189.553621078
2020-05-24,8777516.223151194,7264647.954050625
2020-05-31,8487804.01682848,7468170.94845018
2020-06-07,10354131.68703484,9381453.79096534
2020-06-14,10900131.853621703,7829727.068867047
2020-06-21,9514704.655215187,7321204.044059011
2020-06-28,8970769.77457115,7068828.245020719
2020-07-05,7233764.043323057,6971805.015963896
