,data,_cacheHit
56,"{'updated_at': '2020-04-30T00:32:28.000Z', 'date': '2020-04-30', 'deaths': 233343, 'confirmed': 3254831, 'recovered': 1013756, 'new_confirmed': 86134, 'new_recovered': 62755, 'new_deaths': 5740, 'active': 2007732}",True
57,"{'updated_at': '2020-04-29T00:32:27.000Z', 'date': '2020-04-29', 'deaths': 227603, 'confirmed': 3192161, 'recovered': 971883, 'new_confirmed': 79999, 'new_recovered': 44060, 'new_deaths': 10484, 'active': 1992675}",True
58,"{'updated_at': '2020-04-28T00:32:29.000Z', 'date': '2020-04-28', 'deaths': 217119, 'confirmed': 3114674, 'recovered': 927833, 'new_confirmed': 75151, 'new_recovered': 34706, 'new_deaths': 5986, 'active': 1969722}",True
59,"{'updated_at': '2020-04-27T05:20:17.000Z', 'date': '2020-04-27', 'deaths': 211133, 'confirmed': 3040045, 'recovered': 893130, 'new_confirmed': 70289, 'new_recovered': 28228, 'new_deaths': 4623, 'active': 1935782}",True
60,"{'updated_at': '2020-04-26T08:31:22.000Z', 'date': '2020-04-26', 'deaths': 206510, 'confirmed': 2969756, 'recovered': 864902, 'new_confirmed': 74730, 'new_recovered': 49057, 'new_deaths': 3698, 'active': 1898344}",True
61,"{'updated_at': '2020-04-25T00:31:18.000Z', 'date': '2020-04-25', 'deaths': 202812, 'confirmed': 2895027, 'recovered': 815845, 'new_confirmed': 86171, 'new_recovered': 23264, 'new_deaths': 5697, 'active': 1876370}",True
62,"{'updated_at': '2020-04-24T04:54:42.000Z', 'date': '2020-04-24', 'deaths': 197115, 'confirmed': 2808856, 'recovered': 792581, 'new_confirmed': 101821, 'new_recovered': 54938, 'new_deaths': 6293, 'active': 1819160}",True
63,"{'updated_at': '2020-04-23T08:58:50.000Z', 'date': '2020-04-23', 'deaths': 190822, 'confirmed': 2707035, 'recovered': 737647, 'new_confirmed': 85448, 'new_recovered': 28768, 'new_deaths': 7831, 'active': 1778566}",True
64,"{'updated_at': '2020-04-22T21:38:57.000Z', 'date': '2020-04-22', 'deaths': 182991, 'confirmed': 2621587, 'recovered': 708879, 'new_confirmed': 76283, 'new_recovered': 29875, 'new_deaths': 6444, 'active': 1729717}",True
65,"{'updated_at': '2020-04-21T21:39:09.000Z', 'date': '2020-04-21', 'deaths': 176547, 'confirmed': 2547476, 'recovered': 679004, 'new_confirmed': 77016, 'new_recovered': 34329, 'new_deaths': 6596, 'active': 1691925}",True
66,"{'updated_at': '2020-04-20T21:44:50.000Z', 'date': '2020-04-20', 'deaths': 169951, 'confirmed': 2470460, 'recovered': 644923, 'new_confirmed': 70860, 'new_recovered': 21835, 'new_deaths': 4942, 'active': 1655586}",True
67,"{'updated_at': '2020-04-19T21:49:05.000Z', 'date': '2020-04-19', 'deaths': 165009, 'confirmed': 2399600, 'recovered': 623088, 'new_confirmed': 83588, 'new_recovered': 31580, 'new_deaths': 5533, 'active': 1611503}",True
68,"{'updated_at': '2020-04-18T20:40:18.000Z', 'date': '2020-04-18', 'deaths': 159476, 'confirmed': 2316012, 'recovered': 591508, 'new_confirmed': 77513, 'new_recovered': 23967, 'new_deaths': 5687, 'active': 1565028}",True
69,"{'updated_at': '2020-04-17T21:38:48.000Z', 'date': '2020-04-17', 'deaths': 153789, 'confirmed': 2238500, 'recovered': 567541, 'new_confirmed': 87482, 'new_recovered': 27071, 'new_deaths': 10018, 'active': 1517170}",True
70,"{'updated_at': '2020-04-16T21:38:19.000Z', 'date': '2020-04-16', 'deaths': 143771, 'confirmed': 2151018, 'recovered': 541319, 'new_confirmed': 96519, 'new_recovered': 31071, 'new_deaths': 9621, 'active': 1465928}",True
71,"{'updated_at': '2020-04-15T21:04:26.000Z', 'date': '2020-04-15', 'deaths': 134150, 'confirmed': 2054499, 'recovered': 510249, 'new_confirmed': 79786, 'new_recovered': 36757, 'new_deaths': 8193, 'active': 1410100}",True
72,"{'updated_at': '2020-04-14T21:41:11.000Z', 'date': '2020-04-14', 'deaths': 125957, 'confirmed': 1974713, 'recovered': 473492, 'new_confirmed': 65281, 'new_recovered': 25574, 'new_deaths': 6502, 'active': 1375264}",True
73,"{'updated_at': '2020-04-13T21:15:42.000Z', 'date': '2020-04-13', 'deaths': 119457, 'confirmed': 1915946, 'recovered': 447918, 'new_confirmed': 70605, 'new_recovered': 27255, 'new_deaths': 5398, 'active': 1348571}",True
74,"{'updated_at': '2020-04-12T21:25:04.000Z', 'date': '2020-04-12', 'deaths': 114059, 'confirmed': 1845341, 'recovered': 420985, 'new_confirmed': 75151, 'new_recovered': 19611, 'new_deaths': 5451, 'active': 1310297}",True
75,"{'updated_at': '2020-04-11T20:52:46.000Z', 'date': '2020-04-11', 'deaths': 108608, 'confirmed': 1770204, 'recovered': 401374, 'new_confirmed': 79750, 'new_recovered': 25996, 'new_deaths': 6112, 'active': 1260222}",True
76,"{'updated_at': '2020-04-10T21:01:43.000Z', 'date': '2020-04-10', 'deaths': 102496, 'confirmed': 1690454, 'recovered': 375378, 'new_confirmed': 96295, 'new_recovered': 22098, 'new_deaths': 7063, 'active': 1212580}",True
77,"{'updated_at': '2020-04-09T21:09:19.000Z', 'date': '2020-04-09', 'deaths': 95433, 'confirmed': 1594159, 'recovered': 353280, 'new_confirmed': 84245, 'new_recovered': 25344, 'new_deaths': 7117, 'active': 1145446}",True
78,"{'updated_at': '2020-04-08T20:59:00.000Z', 'date': '2020-04-08', 'deaths': 88316, 'confirmed': 1509914, 'recovered': 327968, 'new_confirmed': 84992, 'new_recovered': 28599, 'new_deaths': 6470, 'active': 1093630}",True
79,"{'updated_at': '2020-04-07T21:11:31.000Z', 'date': '2020-04-07', 'deaths': 81846, 'confirmed': 1424922, 'recovered': 299369, 'new_confirmed': 80963, 'new_recovered': 23520, 'new_deaths': 7297, 'active': 1043707}",True
80,"{'updated_at': '2020-04-06T21:28:35.000Z', 'date': '2020-04-06', 'deaths': 74549, 'confirmed': 1343959, 'recovered': 275849, 'new_confirmed': 72968, 'new_recovered': 16507, 'new_deaths': 5192, 'active': 993561}",True
81,"{'updated_at': '2020-04-05T21:13:44.000Z', 'date': '2020-04-05', 'deaths': 69358, 'confirmed': 1270991, 'recovered': 259345, 'new_confirmed': 74680, 'new_recovered': 13855, 'new_deaths': 4770, 'active': 942288}",True
82,"{'updated_at': '2020-04-04T21:41:02.000Z', 'date': '2020-04-04', 'deaths': 64590, 'confirmed': 1196311, 'recovered': 245496, 'new_confirmed': 101455, 'new_recovered': 20351, 'new_deaths': 5820, 'active': 886225}",True
83,"{'updated_at': '2020-04-03T20:52:45.000Z', 'date': '2020-04-03', 'deaths': 58771, 'confirmed': 1094856, 'recovered': 225146, 'new_confirmed': 82726, 'new_recovered': 15560, 'new_deaths': 5804, 'active': 810939}",True
84,"{'updated_at': '2020-04-02T21:32:01.000Z', 'date': '2020-04-02', 'deaths': 52967, 'confirmed': 1012130, 'recovered': 209616, 'new_confirmed': 80520, 'new_recovered': 17070, 'new_deaths': 6174, 'active': 749547}",True
85,"{'updated_at': '2020-04-01T20:04:58.000Z', 'date': '2020-04-01', 'deaths': 46793, 'confirmed': 931610, 'recovered': 192546, 'new_confirmed': 75083, 'new_recovered': 15408, 'new_deaths': 4699, 'active': 692271}",True
86,"{'updated_at': '2020-03-31T21:49:27.000Z', 'date': '2020-03-31', 'deaths': 42094, 'confirmed': 856527, 'recovered': 177407, 'new_confirmed': 75100, 'new_recovered': 13469, 'new_deaths': 4524, 'active': 637026}",True
87,"{'updated_at': '2020-03-30T20:58:55.000Z', 'date': '2020-03-30', 'deaths': 37570, 'confirmed': 781427, 'recovered': 163944, 'new_confirmed': 62237, 'new_recovered': 15484, 'new_deaths': 3657, 'active': 579913}",True
88,"{'updated_at': '2020-03-29T21:14:06.000Z', 'date': '2020-03-29', 'deaths': 33913, 'confirmed': 719190, 'recovered': 148460, 'new_confirmed': 59395, 'new_recovered': 9661, 'new_deaths': 3273, 'active': 536817}",True
89,"{'updated_at': '2020-03-28T22:11:06.000Z', 'date': '2020-03-28', 'deaths': 30640, 'confirmed': 659795, 'recovered': 138799, 'new_confirmed': 67401, 'new_recovered': 8499, 'new_deaths': 3454, 'active': 490356}",True
90,"{'updated_at': '2020-03-27T22:27:48.000Z', 'date': '2020-03-27', 'deaths': 27186, 'confirmed': 592394, 'recovered': 130300, 'new_confirmed': 63670, 'new_recovered': 8764, 'new_deaths': 3228, 'active': 434908}",True
